2022-10-18 16:57:14+00:00,b'What good is a revolution - if it isn\xe2\x80\x99t permanent? \n\nhttps://t.co/EtoiLyBQHG\n\n#COVID19 #Covid_19 #CovidIsOver\xe2\x80\xa6 https://t.co/NucTQqQM22'
2022-10-18 14:10:13+00:00,b'@italinquen @JackPosobiec I have several family members and many friends who got vaxxed and continue to get the\xe2\x80\xa6 https://t.co/XmRgPiRAC9'
2022-10-18 13:34:44+00:00,"b""@Respond2Racism #ChinaVirus when it's mass murdering you call it what it is! #ChinaLiedPeopleDied \n#NeverTrustDemocratsAgain"""
2022-10-18 08:18:12+00:00,"b""@America00059462 @OANN More Republicans died because they followed Trump's lie about the #chinavirus and didn't get\xe2\x80\xa6 https://t.co/QyqyB8TMGh"""
2022-10-18 05:53:10+00:00,b'@WSJ Who would want to go to #wuhanvirus #swineflu #ChinaLiedPeopleDied \n#chinastealsiP #XiJingping cannot be trusted.\n#ChinaVirus'
2022-10-18 02:56:16+00:00,b'RT @srithh: #ChinaVirus  Impact on farmers\n\nGovt should buy it through MARKFED for support price https://t.co/YafuscRH3W'
2022-10-18 00:26:58+00:00,b'@WidowedJoo @frittsbarfnfart @bennyjohnson @Twitter Trump Won! #AmericaFirst #FuckMarxism #FuckDemocrats\xe2\x80\xa6 https://t.co/JzI9E0b6tF'
2022-10-17 23:54:05+00:00,"b'#nazichina is the first to find this new ""strain"". Sounds like #xiterthepoo #chinavirus #wuhanlabvirus didnt do wha\xe2\x80\xa6 https://t.co/m6610mW46G'"
2022-10-17 21:47:19+00:00,b'This Covid variant is killing my sinuses. Smell is now gone as well! #ChinaVirus #WuhanFlu #KungFlu'
2022-10-17 21:27:12+00:00,b'@DrEliDavid #ChinaLiedPeopleDied\n#democratsLiePeopleDie\n#whoLiedPeopleDied\n#ChinaVirus\n#COVID19\n#chinasyndrome\nFact\xe2\x80\xa6 https://t.co/U6sIplxl1v'
2022-10-17 17:05:27+00:00,b'@MadamSecretary needs to come back- some of the story line is now about #fakenews #pandemic #migrants story line\xe2\x80\xa6 https://t.co/bSqnKZI02K'
2022-10-17 10:55:59+00:00,"b""@EITMonline I'm not eating tainted vaccinated meat #chinavirus #pureblood #Covidisover #thisisovbiouslysarcasm"""
2022-10-17 09:58:19+00:00,b'We students of #R18 had to go through all the semester and also do our mini and main project in the #chinavirus pandemic time'
2022-10-16 16:17:08+00:00,b'RT @Statusimrt: #ChinaVirus warning against contact with animals https://t.co/0eIp1KaCsY'
2022-10-16 15:27:59+00:00,b'Covid was released from a lab in China. #COVID19 #chinavirus #china'
